Module,Layer,Changes,Plus,Minus,Todo,Score
InterModuleCommunication,2_RTOS,6,6,0,false,0.01
Drivers_RX_common,3_HAL,1214,1214,0,false,2.44
GpioDebugOutput,4_BAL,123,123,0,false,0.25
Interfaces,4_BAL,149,112,37,false,0.30
LTEModemPort,4_BAL,1593,811,782,true,23.45
MBUSPhy,4_BAL,4,2,2,false,0.01
MBus,4_BAL,313,215,98,false,0.63
MeasurementSystemDriver/IMS,4_BAL,366,258,108,false,0.73
OptoPortDebug,4_BAL,3,2,2,false,0.00
P1Port,4_BAL,31,16,16,false,0.06
RTCBattery,4_BAL,115,115,0,false,0.23
SCSPhy,4_BAL,1,1,0,false,0.00
SerialPort,4_BAL,2,1,1,false,0.00
SysPerf,4_BAL,89,89,0,false,0.18
WMBUSPhy,4_BAL,4,2,2,false,0.01
CMSupervision,5_SVC,1231,1225,7,false,2.48
DLMS,5_SVC,2,1,1,false,0.00
DataModel,5_SVC,206,206,0,false,0.41
DigitalOutputLC,5_SVC,5,4,2,false,0.01
DisplayLib,5_SVC,239,120,119,true,8.56
ImageTransferStorageLayout,5_SVC,26,13,13,false,0.05
Interfaces,5_SVC,230,188,42,false,0.46
LTEModemTask,5_SVC,1397,1291,106,false,5.70
LTESocket,5_SVC,151,105,46,true,4.05
P1Task/Common,5_SVC,542,542,0,false,1.09
P1Task/FLVObjectModel,5_SVC,928,928,0,false,1.87
PowerState,5_SVC,9,5,4,false,0.02
ProductionData,5_SVC,97,76,21,false,0.19
RTCBattery,5_SVC,89,89,0,false,0.18
SupplyControlSwitch,5_SVC,10,6,4,false,0.02
UartComms,5_SVC,1133,1114,19,false,2.28
WMBUS,5_SVC,2,1,1,false,0.00
CommandProcessor,6_APP,39,27,13,false,0.08
Config,6_APP,14,7,7,false,0.03
ConfigUsbApp,6_APP,15,7,9,false,8.69
Cosem/Classes,6_APP,4834,2015,2819,true,53.48
Cosem/DataInterface,6_APP,877,771,107,true,8.40
DataMigration,6_APP,215,116,99,false,0.43
DisplayApp,6_APP,856,490,366,true,16.18
E360/Demo,6_APP,4,2,2,false,0.01
EventHandling,6_APP,178,102,76,false,0.36
ImageTransfer,6_APP,78,37,41,false,3.04
Interfaces,6_APP,1421,1237,184,true,13.25
MBus/MBus_Common,6_APP,5938,5938,0,true,26.95
MBus/MBus_Fluvius,6_APP,2500,2500,0,true,27.53
MBus/MBus_Generic,6_APP,149,149,0,false,0.30
Ntp/AppFLV,6_APP,183,183,0,false,0.37
ProductionTestApp/1_Phase,6_APP,2,1,1,false,0.00
ProductionTestApp/3_Phase,6_APP,561,322,239,true,8.63
ProductionTestApp,6_APP,1783,1436,347,true,66.87
RemoteCallHandlersCommon,6_APP,838,531,307,false,4.57
Schedulers,6_APP,846,454,392,true,17.21
SelfTest,6_APP,75,38,38,false,0.15
VisualIndication,6_APP,1363,1303,60,false,4.47
E3551Ph/Common/RemoteMethodInvocation,7_EXE,3,2,2,false,0.00
E3551Ph/Common/RemotePeripherals,7_EXE,2,2,0,false,0.00
E3553Ph/Common/RemoteMethodInvocation,7_EXE,10,5,5,false,0.02
E3553Ph/Common/RemotePeripherals,7_EXE,2,2,0,false,0.00
E360/BootLoader,7_EXE,23,23,0,false,0.04
E360/Common/Config/App,7_EXE,6,4,3,false,0.01
E360/Common/Config,7_EXE,221,182,40,false,0.44
E360/Common/Config/TestApp,7_EXE,1,1,0,false,0.00
E360/Common/Hardware,7_EXE,106,99,7,false,0.21
E360/Module1/1_Phase/App,7_EXE,4,2,2,false,0.01
E360/Module1/3_Phase/App,7_EXE,459,230,230,true,8.42
E360/Module1/3_Phase,7_EXE,48,24,24,false,0.09
E360/Module1/SCS/App/3_Phase,7_EXE,590,284,306,true,9.56
E360/Module1/SCS/None/3_Phase,7_EXE,77,44,33,false,0.15
E360/Module1,7_EXE,4009,2267,1742,true,37.67
E360/Module2/1_Phase/App,7_EXE,22,11,11,false,0.04
E360/Module2/3_Phase/App,7_EXE,2334,1103,1231,false,12.57
E360/Module2/ConfigDigitalInput,7_EXE,40,19,22,false,26.07
E360/Module2/ConfigMBus,7_EXE,26,23,3,false,0.05
E360/Module2,7_EXE,3477,2118,1359,true,59.78
E360/Module3/1_Phase/App,7_EXE,5,3,3,false,0.01
E360/Module3/3_Phase/App,7_EXE,442,202,240,true,5.53
E360/Module3/ConfigCII,7_EXE,307,188,119,false,0.62
E360/Module3/ConfigMBus/ConfigMBusCommon,7_EXE,788,400,388,false,1.58
E360/Module3/ConfigMBus/ConfigMBusWired,7_EXE,12,6,6,false,0.02
E360/Module3/ConfigMBus/ConfigMBusWireless,7_EXE,102,46,56,false,1.94
E360/Module3/ConfigOpticalPortControl,7_EXE,50,25,25,false,0.10
E360/Module3,7_EXE,7454,4229,3225,true,51.83
E360/System/1_Phase/App,7_EXE,25,13,13,false,0.05
E360/System/1_Phase,7_EXE,11,6,6,false,0.02
E360/System/1_Phase/TestApp,7_EXE,18,9,9,false,0.03
E360/System/3_Phase/App/S1,7_EXE,858,469,389,true,5.47
E360/System/3_Phase/App/S2,7_EXE,285,143,143,false,0.57
E360/System/3_Phase/App,7_EXE,1051,677,374,false,9.29
E360/System/3_Phase,7_EXE,48,27,21,true,3.84
E360/System/3_Phase/TestApp,7_EXE,1939,1321,618,true,28.14
E360/System/3_Phase/TestAppS2,7_EXE,246,114,132,false,11.85
E360/System/App,7_EXE,3260,1783,1477,true,32.44
E360/System/ConfigControlInput,7_EXE,70,29,41,false,3.03
E360/System/ConfigDigitalInput,7_EXE,184,97,87,false,3.26
E360/System/ConfigMBus/ConfigMBusCommon,7_EXE,150,76,74,false,0.30
E360/System/ConfigMBus/ConfigMBusWired,7_EXE,1,1,0,false,0.00
E360/System/ConfigMBus/ConfigMBusWireless,7_EXE,128,59,69,false,1.22
E360/System/ConfigPowerSupplySupervision,7_EXE,39,20,19,false,8.74
E360/System/ConfigureLpc,7_EXE,5,3,2,false,0.01
E360/System,7_EXE,1103,742,361,false,18.58
E360/System/TestApp,7_EXE,2123,1279,844,true,17.86
E360APCT/Common/RemotePeripherals,7_EXE,4,2,2,false,0.01
